,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
0,10456,AMD Ryzen 9 5950X,amd,16,105,3400,AM4,DDR4,TRUE,x86,105,
1,10461,AMD Ryzen 9 5900X,amd,12,105,3700,,,TRUE,xarm,105,7
2,10796,AMD Ryzen 9 5900 (OEM Only),amd,12,65,3000,AM4,DDR4,TRUE,xarm,65,7
3,10466,AMD Ryzen 7 5800X,amd,8,105,3800,AM4,DDR4,FALSE,x64,105,7
4,10791,AMD Ryzen 7 5800 (OEM Only),amd,8,65,3400,AM4,DDR4,FALSE,x64,65,7
5,10471,AMD Ryzen 5 5600X,amd,6,65,3700,AM4,DDR4,FALSE,x64,65,7
6,9931,AMD Ryzen 9 3900XT,amd,12,105,3800,,DDR4,TRUE,xarm,105,7
7,9941,AMD Ryzen 7 3800XT,amd,8,105,3900,AM4,DDR4,FALSE,x64,105,7
8,9936,AMD Ryzen 5 3600XT,amd,6,95,3800,AM4,DDR4,FALSE,x64,95,7
9,10181,AMD Ryzen Threadripper PRO 3995WX,amd,64,280,2700,sWRX8,DDR4,TRUE,x86,280,7
10,10176,AMD Ryzen Threadripper PRO 3975WX,amd,32,280,3500,sWRX8,DDR4,TRUE,x86,280,7
11,10186,AMD Ryzen Threadripper PRO 3955WX,amd,16,280,3900,sWRX8,DDR4,TRUE,x86,280,7
12,10191,AMD Ryzen Threadripper PRO 3945WX,amd,12,280,4000,,DDR4,TRUE,xarm,280,7
13,9111,AMD Ryzen Threadripper 3990X,amd,64,280,2900,sTRX4,DDR4,TRUE,x86,280,7
14,10801,AMD Ryzen 9 5980HX,amd,8,45,3300,FP6,DDR4,FALSE,x64,45,7
15,10806,AMD Ryzen 9 5980HS,amd,8,35,3000,FP6,DDR4,FALSE,x64,35,7
16,8941,AMD Ryzen Threadripper 3970X,amd,32,280,3700,sTRX4,DDR4,TRUE,x86,280,7
17,10811,AMD Ryzen 9 5900HX,amd,8,45,3300,FP6,DDR4,FALSE,x64,45,7
18,10816,AMD Ryzen 9 5900HS,amd,8,35,3000,FP6,DDR4,FALSE,x64,35,7
19,10821,AMD Ryzen 7 5800H,amd,8,45,3200,FP6,DDR4,FALSE,x64,45,7
20,8946,AMD Ryzen Threadripper 3960X,amd,24,280,3800,sTRX4,DDR4,TRUE,x86,280,7
21,10826,AMD Ryzen 7 5800HS,amd,8,35,2800,FP6,DDR4,FALSE,x64,35,7
22,10831,AMD Ryzen 5 5600H,amd,6,45,3300,FP6,DDR4,FALSE,x64,45,7
23,8486,AMD Ryzen 9 3950X,amd,16,105,3500,AM4,DDR4,TRUE,x86,105,7
24,10836,AMD Ryzen 5 5600HS,amd,6,35,3000,FP6,DDR4,FALSE,x64,35,7
25,8436,AMD Ryzen 9 3900X,amd,12,105,3800,AM4,DDR4,TRUE,xarm,105,7
26,10841,AMD Ryzen 7 5800U,amd,8,15,1900,FP6,DDR4,FALSE,x64,15,7
