,name,ModelNumber,ecc_Compatability,wattage,dimm_slot,memory_type,pci_express_slot_type,quantity
0,Asus TUF GAMING X570-PLUS (WI-FI),10456,TRUE,105,1,3,3,1
1,MSI B450 TOMAHAWK MAX,10461,TRUE,105,2,2,3,2
2,Asus ROG STRIX B550-F GAMING (WI-FI),10796,TRUE,65,2,4,2,2
3,MSI MAG B550 TOMAHAWK,10466,FALSE,105,2,2,3,1
4,ASRock B450M Pro4,10791,FALSE,65,1,2,2,3
5,MSI Z490-A PRO,10471,FALSE,65,1,1,2,3
6,Asus ROG STRIX B550-A GAMING,9931,TRUE,105,2,1,1,2
7,MSI B550-A PRO,9941,FALSE,105,2,4,1,1
8,Asus ROG Strix X570-E Gaming,9936,FALSE,95,1,5,2,1
9,Gigabyte B450M DS3H V2,10181,TRUE,280,1,4,2,2
10,MSI MPG Z490 GAMING PLUS,10176,TRUE,280,1,3,4,3
11,Asus ROG STRIX B450-F GAMING,10186,TRUE,280,2,5,1,3
12,MSI B550M PRO-VDH WIFI,10191,TRUE,280,2,5,4,2
13,MSI MAG X570 TOMAHAWK WIFI,9111,TRUE,280,2,5,4,1
14,Asus ROG Crosshair VIII Dark Hero,10801,FALSE,45,2,3,3,2
15,Gigabyte B460M DS3H,10806,FALSE,35,2,4,1,1
16,MSI MPG Z490 GAMING EDGE WIFI,8941,TRUE,280,1,3,3,3
17,Gigabyte B450 I AORUS PRO WIFI,10811,FALSE,45,2,1,4,2
18,MSI MPG B550 GAMING EDGE WIFI,10816,FALSE,35,1,4,1,2
19,Asus ROG STRIX Z490-E GAMING,10821,FALSE,45,1,1,3,2
20,Asus ROG STRIX B550-F GAMING,8946,TRUE,280,1,2,3,3
21,Asus ROG STRIX Z590-E GAMING WIFI,10826,FALSE,35,2,4,1,2
22,Asus ROG Strix X570-I Gaming,10831,FALSE,45,2,2,2,1
23,Asus PRIME B560M-A,8486,TRUE,105,2,2,4,1
24,Asus ROG ZENITH II EXTREME ALPHA,10836,FALSE,35,2,3,4,2
25,MSI MPG B550 GAMING PLUS,8436,TRUE,105,2,2,3,2
26,Gigabyte X570 AORUS ELITE WIFI,10841,FALSE,15,1,5,4,1
27,ASRock B450 Steel Legend,10846,FALSE,15,2,2,2,2
28,Asus PRIME Z390-A,8931,TRUE,65,2,1,3,1
29,Asus PRIME Z490-A,10851,FALSE,15,2,2,4,2
30,Asus PRIME B460-PLUS,10856,FALSE,15,1,5,3,1
31,Gigabyte B550M DS3H,8441,FALSE,105,2,2,3,1
32,Gigabyte B450 AORUS ELITE V2,10866,FALSE,15,1,5,1,3
33,Gigabyte B550I AORUS PRO AX,10861,FALSE,15,2,4,1,3
34,Asus ROG STRIX B450-F GAMING II,8446,FALSE,65,1,2,4,3
35,Asus PRIME X570-PRO,11171,FALSE,65,1,3,1,2
36,Gigabyte X570 AORUS MASTER,11186,FALSE,35,1,4,2,3
37,Asus ROG Crosshair VIII Hero (WI-FI),8451,FALSE,95,1,2,4,3
38,MSI Z390-A PRO,11176,FALSE,65,2,4,2,3
39,Asus PRIME H410M-E,11191,FALSE,35,2,2,1,1
40,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),8456,FALSE,65,1,3,1,3
41,MSI B450M BAZOOKA MAX WIFI,11181,FALSE,65,2,5,3,2
42,Asus ROG MAXIMUS XIII HERO,11196,FALSE,35,2,2,4,1
43,Asus TUF Gaming Z590-PLUS WIFI,9671,FALSE,65,2,4,3,2
44,Asus TUF GAMING B560M-PLUS WIFI,10196,FALSE,65,1,5,4,1
45,Asus TUF GAMING X570-PRO (WI-FI),9676,FALSE,65,1,5,4,3
46,Asus ROG STRIX B550-I GAMING,10201,FALSE,65,2,1,1,3
