,name,ModelNumber,ecc_Compatability,wattage
0,Asus TUF GAMING X570-PLUS (WI-FI),10456.0,True,105.0
1,MSI B450 TOMAHAWK MAX,10461.0,True,105.0
2,Asus ROG STRIX B550-F GAMING (WI-FI),10796.0,True,65.0
3,MSI MAG B550 TOMAHAWK,10466.0,False,105.0
4,ASRock B450M Pro4,10791.0,False,65.0
5,MSI Z490-A PRO,10471.0,False,65.0
6,Asus ROG STRIX B550-A GAMING,9931.0,True,105.0
7,MSI B550-A PRO,9941.0,False,105.0
8,Asus ROG Strix X570-E Gaming,9936.0,False,95.0
9,Gigabyte B450M DS3H V2,10181.0,True,280.0
10,MSI MPG Z490 GAMING PLUS,10176.0,True,280.0
11,Asus ROG STRIX B450-F GAMING,10186.0,True,280.0
12,MSI B550M PRO-VDH WIFI,10191.0,True,280.0
13,MSI MAG X570 TOMAHAWK WIFI,9111.0,True,280.0
14,Asus ROG Crosshair VIII Dark Hero,10801.0,False,45.0
15,Gigabyte B460M DS3H,10806.0,False,35.0
16,MSI MPG Z490 GAMING EDGE WIFI,8941.0,True,280.0
17,Gigabyte B450 I AORUS PRO WIFI,10811.0,False,45.0
18,MSI MPG B550 GAMING EDGE WIFI,10816.0,False,35.0
19,Asus ROG STRIX Z490-E GAMING,10821.0,False,45.0
20,Asus ROG STRIX B550-F GAMING,8946.0,True,280.0
21,Asus ROG STRIX Z590-E GAMING WIFI,10826.0,False,35.0
22,Asus ROG Strix X570-I Gaming,10831.0,False,45.0
23,Asus PRIME B560M-A,8486.0,True,105.0
24,Asus ROG ZENITH II EXTREME ALPHA,10836.0,False,35.0
25,MSI MPG B550 GAMING PLUS,8436.0,True,105.0
26,Gigabyte X570 AORUS ELITE WIFI,10841.0,False,15.0
27,ASRock B450 Steel Legend,10846.0,False,15.0
28,Asus PRIME Z390-A,8931.0,True,65.0
29,Asus PRIME Z490-A,10851.0,False,15.0
30,Asus PRIME B460-PLUS,10856.0,False,15.0
31,Gigabyte B550M DS3H,8441.0,False,105.0
32,Gigabyte B450 AORUS ELITE V2,10866.0,False,15.0
33,Gigabyte B550I AORUS PRO AX,10861.0,False,15.0
34,Asus ROG STRIX B450-F GAMING II,8446.0,False,65.0
35,Asus PRIME X570-PRO,11171.0,False,65.0
36,Gigabyte X570 AORUS MASTER,11186.0,False,35.0
37,Asus ROG Crosshair VIII Hero (WI-FI),8451.0,False,95.0
38,MSI Z390-A PRO,11176.0,False,65.0
39,Asus PRIME H410M-E,11191.0,False,35.0
40,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),8456.0,False,65.0
41,MSI B450M BAZOOKA MAX WIFI,11181.0,False,65.0
42,Asus ROG MAXIMUS XIII HERO,11196.0,False,35.0
43,Asus TUF Gaming Z590-PLUS WIFI,9671.0,False,65.0
44,Asus TUF GAMING B560M-PLUS WIFI,10196.0,False,65.0
45,Asus TUF GAMING X570-PRO (WI-FI),9676.0,False,65.0
46,Asus ROG STRIX B550-I GAMING,10201.0,False,65.0
47,ASRock B550M Pro4,10206.0,False,65.0
48,MSI B450M PRO-VDH MAX,8981.0,False,65.0
49,MSI MAG B550M MORTAR WIFI,10211.0,False,35.0
50,Asus PRIME A320M-K,10216.0,False,35.0
51,Gigabyte B365M DS3H,10221.0,False,35.0
52,Asus PRIME B460M-A,9651.0,False,35.0
53,Gigabyte X570 I AORUS PRO WIFI,9206.0,False,35.0
54,Gigabyte Z490 VISION G,10511.0,False,45.0
55,MSI MPG X570 GAMING EDGE WIFI,9081.0,False,45.0
56,Gigabyte B550 AORUS ELITE AX V2,9086.0,False,45.0
57,Asus ROG STRIX B550-E GAMING,9091.0,False,15.0
58,MSI B460M PRO-VDH WIFI,9096.0,False,15.0
59,ASRock B450M-HDV R4.0,9116.0,False,15.0
60,Asus TUF GAMING B550-PLUS (WI-FI),9101.0,False,15.0
61,MSI B450 Gaming Plus MAX,9106.0,False,15.0
62,ASRock B560M Pro4,9051.0,False,15.0
63,Asus TUF GAMING B550-PLUS,11286.0,False,15.0
64,Asus ROG Crosshair VIII Formula,8476.0,False,65.0
65,ASRock B550 Phantom Gaming 4,11291.0,False,15.0
66,Asus PRIME Z490-P,8991.0,False,35.0
67,MSI MPG X570 GAMING PRO CARBON WIFI,8921.0,False,15.0
68,Asus TUF GAMING B550M-PLUS (WI-FI),8481.0,False,65.0
69,ASRock B560M-HDV,8996.0,False,35.0
70,Asus PRIME B560-PLUS,10136.0,False,35.0
71,Gigabyte X570 AORUS ELITE,8986.0,False,35.0
72,Gigabyte B550 VISION D-P,8371.0,False,35.0
73,MSI A320M-A PRO,8376.0,False,35.0
74,MSI MPG X570 GAMING PLUS,8336.0,False,15.0
75,Gigabyte Z390 AORUS PRO WIFI,8341.0,False,15.0
76,MSI MEG X570 UNIFY,10876.0,False,15.0
77,ASRock B450 Pro4,10531.0,False,15.0
78,Gigabyte TRX40 AORUS XTREME,8346.0,False,15.0
79,Gigabyte B550 AORUS PRO AC,8916.0,False,15.0
80,Gigabyte B450 AORUS M,10481.0,False,15.0
81,ASRock B450M Steel Legend,8351.0,False,15.0
82,Gigabyte B560M DS3H,10486.0,False,15.0
83,ASRock A320M-HDV R4.0,9061.0,False,15.0
84,Gigabyte X570 AORUS XTREME,9066.0,False,15.0
85,MSI B450-A PRO MAX,8356.0,False,15.0
86,MSI B450 GAMING PRO CARBON MAX WIFI,9056.0,False,15.0
87,ASRock B550M-ITX/ac,9896.0,False,6.0
88,Asus ROG STRIX Z590-A GAMING WIFI,9076.0,False,15.0
89,Asus ROG STRIX B560-A GAMING WIFI,9071.0,False,15.0
90,Asus TUF GAMING B450M-PLUS II,10231.0,False,35.0
